source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Business of Fashion,Meta Invests $3.5 Billion in EssilorLuxottica in AI Glasses Push,https://www.businessoffashion.com/news/technology/meta-invests-35-billion-in-worlds-largest-eye-wear-maker-in-ai-glasses-push/,"Meta Plaforms Inc. bought a minority stake in EssilorLuxottica in a deal that increases the US tech giant’s commitment to the fast-growing smart glasses industry, according to people familiar with the matter.",[],2025-07-08T20:26:44,10,INDUSTRY,"M&A, PARTNERSHIP",ungrouped,1
Glossy,"With Dedcool, Erewhon launches its first fragrance-inspired smoothie",https://www.glossy.co/beauty/with-dedcool-erewhon-launches-its-first-fragrance-inspired-smoothie/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"With the launch of a limited-edition vegan smoothie, Dedcool's Xtra Milk perfume is the latest product to get the coveted Erewhon smoothie treatment.","['Beauty', 'RevolutionBrandMarketingContentful']",2025-07-02T04:01:00,10,FRAGRANCE,"NEW LAUNCH, RETAIL STRATEGY, PARTNERSHIP",ungrouped,1
Business of Fashion,Worldview | Turkish and Chinese Fashion Factories Invest in Egypt,https://www.businessoffashion.com/articles/global-markets/worldview-egypt-entices-turkish-chinese-investors-factories/,"This week’s round-up of global markets fashion business news also features Nykaa’s Hong Kong investor, Reliance Retail in India and Nigeria’s mooted textile hub.",[],2025-07-08T09:02:18,10,INDUSTRY,"TARIFFS/SUPPLY CHAIN, RETAIL STRATEGY",ungrouped,1
Business of Fashion,Indie Fragrance Brands’ Big Athlete Opportunity,https://www.businessoffashion.com/articles/sports/athletes-fine-fragance-niche-ambassadors/,"Athletes are increasingly getting into fine fragrances, but so far indie fragrance brands haven't returned the favour. That may change as they realise sports stars offer access to a burgeoning new consumer market for scents: young men.",[],2024-12-10T05:30:00,9,FRAGRANCE,"GEN Z, PARTNERSHIP",ungrouped,1
Business of Fashion,Tween Retailer Claire’s Considers Bankruptcy for US Operations,https://www.businessoffashion.com/news/retail/claires-accessories-bankrupt-us-operations/,"Facing weak demand, increased import costs, and a significant debt burden, Claire’s Stores Inc. is contemplating bankruptcy for its US operations.",[],2025-07-10T13:39:40,8,RETAIL,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Glossy,"Exclusive: 19 months after selling to private equity, JVN Hair enters Ulta Beauty",https://www.glossy.co/beauty/exclusive-19-months-after-selling-to-private-equity-jvn-hair-enters-ulta-beauty/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"On July 20, JVN Hair, the brand founded by “Queer Eye” star Jonathan Van Ness, will launch at Ulta Beauty both online and in approximately 700 stores, about half of the retailer’s locations. JVN Hair was originally incubated in partnership with Amyris, which declared bankruptcy in August 2023. In December 2023, the private equity firm Windsong Global acquired JVN Hair at auction for $1.25 million.","['Beauty', 'Pop']",2025-07-08T04:00:00,8,RETAIL,"FINANCIALS, M&A",ungrouped,1
Business of Fashion,Satoshi Kuwata’s Perfume Dreams Come True,https://www.businessoffashion.com/articles/beauty/setchu-fragrance-launch-satoshi-kuwata-dover-street-market/,"Setchu’s debut collection of five fragrances will be sold at Dover Street Market in September after an unveiling at Pitti Fragranze in Milan, founder Satoshi Kuwata exclusively told The Business of Beauty.",[],2025-07-10T12:00:00,8,FRAGRANCE,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
Business of Fashion,Uniqlo Owner’s Profit Misses Estimates on Weak China Sales,https://www.businessoffashion.com/news/global-markets/uniqlo-profit-misses-estimates-weak-china-sales-fast-retailing/,"Japanese apparel maker Fast Retailing reported third-quarter earnings below estimates, primarily due to a decline in mainland China revenue.",[],2025-07-10T10:11:24,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Why the Time Is Right for a Gorpcore IPO,https://www.businessoffashion.com/briefings/sports/why-the-time-is-right-for-a-gorpcore-ipo/,"Amer Sports, the owner of Arc’teryx and Salomon is eyeing a US listing at a $10 billion valuation, even as fashion may be moving on from its outdoor fashion craze.",[],2023-09-08T16:08:19,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,"On Returns to Profit, Surpasses $1 Billion in Revenue",https://www.businessoffashion.com/news/sports/on-returns-to-profit-surpasses-1-billion-in-revenue/,"The fast-growing Swiss running footwear company reported net income of CHF 57.7 million ($62.4 million), up from a loss of CHF 170.2 million in 2021, sending the company’s stock up as much as 28 percent in early trading on Tuesday.",[],2023-03-21T14:43:59,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,New Balance’s $10 Billion Plan,https://www.businessoffashion.com/articles/sports/the-state-of-fashion-2025-report-new-balance-interview-joe-preston/,"As the brand races to hit eleven-digit annual sales, CEO Joe Preston opens up for The State of Fashion 2025 about what New Balance is doing that its rivals aren't, the company's unique approach to brand and athlete partnerships and how it plans to stay ahead in the innovation battle.",[],2025-01-06T05:30:00,7,BRAND,"PARTNERSHIP, FINANCIALS",ungrouped,1
Business of Fashion,Nike’s Plunging Sales Reveal the Difficult Task Ahead for Incoming CEO,https://www.businessoffashion.com/articles/sports/nikes-plunging-sales-reveal-the-difficult-task-ahead-for-incoming-ceo/,"Sales missed expectations and the company withdrew its guidance, laying bare the challenges facing Elliott Hill as he prepares to lead the brand.",[],2024-10-01T22:26:58,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,How Kiko Milano Built Pricing Power,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-bof-mckinsey-report-kiko-milano-interview-simone-dominici/,"The Italian cosmetics giant has deftly engineered a premiumisation strategy, and has elevated its distribution, product selection and points of differentiation, heavily reducing discounts and promotions in the process. Chief executive Simone Dominici explained how it deployed its strategy in The State of Fashion: Beauty Volume 2.",[],2025-06-24T04:30:00,7,BRAND,"RETAIL STRATEGY, FINANCIALS",ungrouped,1
Business of Fashion,Swiss Sneaker Company On Reports Record Quarterly Revenue of $560 Million,https://www.businessoffashion.com/news/sports/swiss-sneaker-company-on-reports-record-quarterly-revenue-of-560-million/,Fast-growing DTC sales helped the brand beat Wall Street expectations in the quarter ending March 31.,[],2024-05-14T14:04:03,7,INDUSTRY,FINANCIALS,ungrouped,1
