source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Business of Fashion,Adidas Says Tariffs Will Add $231 Million to Second-Half Costs,https://www.businessoffashion.com/news/retail/adidas-says-tariffs-will-add-231-million-to-second-half-costs/,The German sportswear company said uncertainty was holding it back from increasing its annual guidance despite reporting stronger than expected second-quarter profit.,[],2025-07-30T07:42:13,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,"Colgate-Palmolive Sales Rise, Announces Restructuring Plan",https://www.businessoffashion.com/news/beauty/colgate-palmolive-sales-rise-announces-restructuring-plan/,"The personal care giant beat expectations and delineated steps taken to mitigate the effects of tariffs, and will embark on a five-year cost-cutting plan.",[],2025-08-01T12:49:34,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Luxury Jeweller Fabergé Sold to Tech Investor in $50 Million Deal,https://www.businessoffashion.com/news/luxury/luxury-jeweller-faberge-sold-to-tech-investor-in-50m-deal/,"The renowned jeweller known for its imperial Russian Easter eggs, has been sold to technology investor Sergei Mosunov’s SMG Capital for $50 million, as its parent company Gemfields seeks to fund its mining operations.",[],2025-08-11T13:55:16,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
Business of Fashion,How Niche Perfumers Pay to Win,https://www.businessoffashion.com/articles/beauty/niche-perfumers-ingredient-retail-spending/,"Luxury fragrance houses like Marc-Antoine Barrois, Amouge and Krigler are pouring investment into their retail spaces, master perfumers and artisanal manufacturing — and reaping double-digit sales growth.",[],2025-06-03T12:00:00,10,FRAGRANCE,"RETAIL STRATEGY, FINANCIALS",ungrouped,1
Business of Fashion,Gildan to Buy Underwear Maker Hanesbrands for $2.2 Billion,https://www.businessoffashion.com/news/retail/gildan-to-buy-underwear-maker-hanesbrands-for-22-billion/,Analysts expect Montreal-based Gildan’s annual revenue to rise about 5 percent to $3.4 billion this year.,[],2025-08-13T14:14:55,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
Business of Fashion,"Soho House to Go Private in $2.7 Billion Deal, Ashton Kutcher to Join Board",https://www.businessoffashion.com/news/luxury/soho-house-to-go-private-in-27-billion-deal-ashton-kutcher-to-join-board/,"Under the new deal, MCR Hotels will get Soho’s publicly traded shares, while founder Nick Jones and executive chairman Ron Burkle and his investment firm Yucaipa will retain majority control of the business.",[],2025-08-18T14:07:16,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
Business of Fashion,Have Trump’s Tariffs Finally Put an End to Crocs’ 19-Year Reign?,https://www.businessoffashion.com/articles/professional/trumps-tariffs-impact-crocs/,The plastic clog maker’s share price is down nearly 30 percent — its lowest level for three years — and revenues are expected to drop by at least 9 percent in the current quarter.,[],2025-08-17T15:00:04,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Phlur to Launch in Australia and the Middle East,https://www.businessoffashion.com/news/beauty/phlur-mecca-australia-sephora-middle-east-launch/,"The fragrance brand, recently acquired by TSG Consumer Partners, will roll out its range of perfumes, mists and body care in Australia’s Mecca from Aug. 26 and in Sephora Middle East from Sept. 15.",[],2025-08-15T12:30:00,10,FRAGRANCE,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
Glossy,Coach CEO Todd Kahn on navigating tariffs and the sudden end of de minimis,https://www.glossy.co/fashion/coach-ceo-todd-kahn-on-navigating-tariffs-and-the-sudden-end-of-de-minimis/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,Coach CEO Todd Kahn explains how the brand will address a $160 million tariff impact from the sudden August 2025 end of the United States de minimis rule while sustaining growth after a record fourth quarter.,['Fashion'],2025-08-15T04:04:00,10,INDUSTRY,"TARIFFS/SUPPLY CHAIN, FINANCIALS",ungrouped,1
Beauty Independent,Cult-Favorite Science-Driven Skincare Brand Experiment Finally Arrives At Sephora,https://www.beautyindependent.com/cult-favorite-science-driven-skincare-brand-experiment-finally-arrives-sephora/,"Most founders eagerly await Sephora sliding into their DMs. Exciting as it was when that happened to Experiment co-founder Lisa Guerrera three years ago, she told the beauty retail behemoth her brand would wait to launch at it. “I think that’s critical advice for all beauty founders,” she says. ... The post Cult-Favorite Science-Driven Skincare Brand Experiment Finally Arrives At Sephora appeared first on Beauty Independent .","['Brand Report', 'beauty retail', 'Clean at Sephora', 'clinical skincare', 'Experiment', 'Greycroft', 'masstige skincare', 'Sephora', 'TikTok Shop']",2025-08-18T04:01:36,10,RETAIL,"BRAND REPORT, CLEAN AT SEPHORA, RETAIL STRATEGY, TIKTOK",ungrouped,1
Business of Fashion,Worldview | How Chinese E-Tailer JD.com Topped Sales Estimates,https://www.businessoffashion.com/articles/global-markets/worldview-how-chinese-e-tailer-jdcom-topped-sales-estimates/,"This week’s round-up of global markets fashion business news also features South Korea’s ‘Dior bag scandal,’ Aditya Birla Group’s Tmrw and Chilean retail giants Cencosud and Falabella.",[],2025-08-19T13:34:17,9,INDUSTRY,"FINANCIALS, RETAIL STRATEGY",ungrouped,1
Business of Fashion,Luxury Has Lost the Plot — and These Brands Are Picking Up the Slack,https://www.businessoffashion.com/articles/retail/luxury-has-lost-the-plot-and-these-brands-are-picking-up-the-slack/,"Emerging labels like Kallmeyer, TWP and Studio Nicholson are capturing high-spending shoppers with premium quality at accessible prices, forcing the industry to rethink what luxury means in 2025.",[],2025-08-18T04:30:00,9,INDUSTRY,"GEN Z, RETAIL STRATEGY",ungrouped,1
Glossy,What’s old is new again: Why centuries-old fragrance brands are undergoing a revival,https://www.glossy.co/beauty/whats-old-is-new-again-why-centuries-old-fragrance-brands-are-undergoing-a-revival/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Brands like D’Orsay and Santa Maria Novella form a roster of centuries-old perfume houses that have staged comebacks and expansions amid the post-Covid fragrance boom. If done successfully, those revitalized names can tap into an existing brand universe and hundreds of years of history to speak to niche perfume consumers’ desire for heritage and authenticity.",['Beauty'],2025-08-12T04:05:00,9,FRAGRANCE,"GEN Z, RETAIL STRATEGY",ungrouped,1
Glossy,Digital communities have revolutionized the fragrance industry. But will they accept the advent of AI?,https://www.glossy.co/beauty/digital-communities-have-revolutionized-the-fragrance-industry-but-will-they-accept-the-advent-of-ai/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"The emergence of the internet and social media  revolutionized the fragrance industry in recent years, leading to an explosion in new launches and fostering a world of creators who make their living speaking and writing about perfume. But the next digital frontier — artificial intelligence — has sparked far more ambivalent feelings.",['Beauty'],2025-08-13T04:10:00,9,FRAGRANCE,"GEN Z, AI",ungrouped,1
Glossy,"Beauty & Wellness Briefing: Is this the end of foam sunscreen? —plus, industry news",https://www.glossy.co/beauty/is-this-the-end-of-foam-sunscreen-plus-industry-news/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"This week, I checked in with formulation and packaging experts to break down the FDA letters sent to sunscreen brands like Vacation and Supergoop warning that their whipped and foam sunscreens are not in compliance with federal law. The brands have 15 days to respond, which is likely to include a recall of products from Sephora, Ulta Beauty, Target, CVS, Revolve and Nordstrom shelves. Additionally, Sephora bets on another artist-founded color cosmetics line, P&#38;G Beauty gets a new CEO, and OneSkin takes on $20 million in funding as biotech-powered beauty heats up.","['Beauty', 'Glossy+', 'plus']",2025-08-19T04:02:00,9,INDUSTRY,"RETAIL STRATEGY, PARTNERSHIP",ungrouped,1
Glossy,Luxury Briefing: Inside On’s latest play for the luxury-lifestyle crown,https://www.glossy.co/fashion/luxury/luxury-briefing-inside-ons-latest-play-for-the-luxury-lifestyle-crown/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"In this week's luxury briefing, a deep dive into On Holding's Zendaya-led apparel strategy, and why the brand is betting on tennis and premiumization. Also, exclusive new data from StockX, new data on the appreciation of luxury bags, the latest Glossy podcast and news to know.","['Fashion', 'Luxury', 'Glossy+', 'plus']",2025-08-13T04:00:00,8,BRAND,"PARTNERSHIP, GEN Z, RETAIL STRATEGY",ungrouped,1
