source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
WWD,Sesame Oil Skin Care: The Secret to Hydrated Skin or a Recipe for Clogged Pores?,https://wwd.com/beauty-industry-news/skin-care/feature/sesame-oil-skin-care-risks-benefits-1237920954/,"Dr. Shamsa Kanwal, a consultant dermatologist, Naturopathica's Kristen Sgarlato and facialist Monika Dragaj discuss the benefits and risks associated with the all-natural ingredient amid rising interest in the product.","['Skin Care', 'beauty', 'shop', 'skincare', 'trending']",2025-06-17T14:49:15,2,BRAND,NONE,group_1,2
Business of Fashion,Art Basel Is Shaping Up to Be a Roll of the Dice,https://www.businessoffashion.com/news/luxury/switzerland-art-basel-high-end-art-roll-the-dice/,"'There’s new energy in the market,’ Pace CEO Marc Glimcher told Bloomberg ahead of the Swiss edition of the global art fair, but selling top-end pieces is likely to be more chancy than usual, several dealers acknowledged.",[],2025-06-12T17:29:37,0,OTHER,NONE,group_1,2
Business of Fashion,Victoria’s Secret Turnaround Takes Hit on Quarterly Forecast Miss,https://www.businessoffashion.com/news/retail/victorias-secret-turnaround-takes-hit-on-quarterly-forecast-miss/,"CEO Hillary Super’s first year at the helm has been hampered by outside forces, including US tariffs on imports from Asia, weakening consumer spending and a major investor pushing for board changes.",[],2025-06-11T14:10:38,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Ben Gorham to Exit Byredo,https://www.businessoffashion.com/news/beauty/ben-gorham-to-exit-byredo/,The founder of the Swedish fragrance label is stepping down as Puig completes its takeover.,[],2025-06-18T09:50:30,8,FRAGRANCE,M&A,ungrouped,1
Business of Fashion,Bernard Arnault Grapples With the Biggest Slump in LVMH’s History,https://www.businessoffashion.com/articles/luxury/bernard-arnault-grapples-with-biggest-slump-in-lvmh-history/,The luxury goods maker is reeling from a sharp downturn in the €364 billion industry — and questions about succession are growing louder.,[],2025-06-19T08:36:52,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Opinion: Luxury Is More Resilient Than the Market Suggests,https://www.businessoffashion.com/articles/luxury/opinion-luxury-is-more-resilient-than-the-market-suggests/,"The luxury industry is facing another lost year, according to Bain’s latest luxury update, but investors are being too gloomy on the sector’s long-term prospects, argues Andrea Felsted.",[],2025-06-19T17:27:23,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Victoria’s Secret Faces Fresh Activist Fight From Barington Capital,https://www.businessoffashion.com/news/retail/victorias-secret-barington-capital/,"Activist investor Barington Capital Group seeks to change Victoria’s Secret’s board, believing the company has underperformed since its 2021 spin-off.",[],2025-06-16T14:15:22,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Port of LA Imports Drop 19% in May as Tariffs Hit US Businesses,https://www.businessoffashion.com/news/retail/port-of-la-imports-drop-19-in-may-as-tariffs-hit-us-businesses/,The drop in port activity came as importers and retailers — especially those with business in China — grappled with the uncertainty of Trump’s trade war.,[],2025-06-13T20:21:47,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,This Week: Fashion Tries to Ignore the News,https://www.businessoffashion.com/briefings/retail/this-week-fashion-tries-to-ignore-the-news/,"The industry’s newfound political neutrality is being tested. Meanwhile, fresh retail sales figures and trade negotiations will clarify the outlook for the rest of the year.",[],2025-06-15T12:00:00,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Report: Kering to Name Renault Boss Luca de Meo CEO,https://www.businessoffashion.com/news/luxury/kering-name-renault-boss-luca-de-meo-ceo/,"The French luxury giant is planning to shake up its leadership amid a share price slump, according to Le Figaro.",[],2025-06-15T19:38:57,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Outdoor Voices’ Founder Raises Series A for New Start-Up,https://www.businessoffashion.com/news/technology/ty-haneys-try-your-best-raises-11-million/,"Ty Haney’s social shopping platform Try Your Best, which counts Rare Beauty and Glossier as clients, raised an $11 million Series A as brands rev up their  community building strategies.",[],2025-06-11T16:51:48,7,BRAND,"FINANCIALS, RETAIL STRATEGY",ungrouped,1
Business of Fashion,The Business of Beauty Global Forum: Inside the Industry,https://www.businessoffashion.com/articles/beauty/elf-olaplex-the-business-of-beauty-global-forum-2025/,"Now in its third year, The Business of Beauty Global Forum kicked off its second day with conversations around community, culture and brand-building, featuring E.l.f. CEO Tarang Amin, influencer Mikayla Nogueira and Pattern Beauty founder Tracee Ellis Ross.",[],2025-06-11T01:13:44,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Glossy,To increase or not to increase: Beauty brands grapple with raising prices as tariff uncertainty continues,https://www.glossy.co/beauty/to-increase-or-not-to-increase-beauty-brands-grapple-with-raising-prices-as-tariff-uncertainty-continues/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"While E.l.f. Beauty and Saie announce price hikes, LVMH signals reluctance to raise beauty pricing, and buzzy brands like Bubble and Coco Kind share promises to maintain pricing. Plus, new studies show even a 10% increase could erode brand loyalty. Glossy investigates the pros and cons of passing tariff expenses off to consumers.",['Beauty'],2025-06-16T04:05:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,French Senate Backs Law to Curb Ultra Fast-Fashion,https://www.businessoffashion.com/news/sustainability/french-senate-backs-law-to-curb-ultra-fast-fashion/,"If implemented, the law would ban advertising by fast-growing Chinese e-commerce platforms like Shein and Temu.",[],2025-06-11T08:55:23,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,"Trump Tariffs Can Stay in Effect Longer, Appeals Court Says",https://www.businessoffashion.com/news/global-markets/trump-tariffs-can-stay-in-effect-longer-appeals-court-says/,"In a win for the US president on one of his signature economic policies, the US Court of Appeals extended an earlier, short-term reprieve for the administration as it presses a challenge to a lower court ruling last month that blocked the tariffs.",[],2025-06-11T14:06:13,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,Surprise! Why Apparel Prices Are Actually Falling,https://www.businessoffashion.com/articles/retail/surprise-why-apparel-prices-are-actually-falling/,"The latest US inflation data, covering the weeks after the Trump administration’s tariffs kicked in, shows prices for clothing declined at their fastest pace in years. Consumers shouldn’t get complacent though — many experts say sticker shock is still coming.",[],2025-06-12T04:00:00,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,The Business of Beauty Global Forum: Our Place in Culture,https://www.businessoffashion.com/articles/beauty/mexico-halal-black-beauty-culture-the-business-of-beauty-global-forum-2025/,"Now in its third year, The Business of Beauty Global Forum kicked off its first day with conversations around how culture is shaping today’s beauty industry, featuring SpaceNK CEO Andy Lightfoot, Lip Bar founder Melissa Butler and more.",[],2025-06-10T04:30:00,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Zara Owner Inditex Posts Slowing Growth,https://www.businessoffashion.com/news/retail/zara-owner-inditex-posts-slowing-growth/,"The fast fashion giant reported a muted start to the second quarter and warned that foreign-exchange fluctuations could have a greater impact on results this year than anticipated, sending shares tumbling.",[],2025-06-11T15:33:59,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Eytys Is Back From Bankruptcy,https://www.businessoffashion.com/news/luxury/eytys-is-back-from-bankruptcy/,"Max Schiller is relaunching the cult Swedish label after bringing on his brother, Acne Studios co-owner Mikael Schiller, as investor and chairman of the board.",[],2025-06-16T19:30:02,7,BRAND,"FINANCIALS, M&A",ungrouped,1
Business of Fashion,Coty Shares Surge on Report Company Looking to Sell Off Units,https://www.businessoffashion.com/news/beauty/coty-shares-surge-on-report-company-looking-to-sell-off-units/,The American cosmetics giant's share price surged 13 percent following a report in Women's Wear Daily that the company is considering selling its luxury and consumer divisions as separate units.,[],2025-06-16T20:08:18,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,AI Personal Shopping Tool Alta Raises $11 Million,https://www.businessoffashion.com/news/technology/ai-personal-shopping-tool-alta-raises-11-million/,The artificial intelligence-powered styling platform raised a seed round with funding from investment firms including Arnault family-backed Aglaé Ventures.,[],2025-06-16T17:01:03,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,The Business of Beauty Global Forum 2025 Concludes with Farewell Celebration,https://www.businessoffashion.com/articles/beauty/global-beauty-forum-2025-concludes-with-loreal-groupe-dinner-hailey-bieber-tracee-ellis-ross-attend/,BoF and L’Oréal Groupe honoured six winners at The Business of Beauty Global Forum farewell dinner.,[],2025-06-11T16:29:02,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Worldview | Shein Redirects Listing Plans to Hong Kong,https://www.businessoffashion.com/articles/global-markets/worldview-shein-redirects-listing-plans-to-hong-kong/,This week’s round-up of global markets fashion business news also features Cambodia’s apparel exports lift and China’s consumer boom.,[],2025-06-17T09:29:09,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Mike Ashley’s Frasers Drops Out of Bid For Revolution Beauty,https://www.businessoffashion.com/news/beauty/mike-ashley-frasers-drops-out-bid-revolution-beauty/,"The British fashion group has decided not to go ahead with an offer to buy the ailing cosmetics brand, the company said Thursday.",[],2025-06-20T10:31:31,7,INDUSTRY,M&A,ungrouped,1
Business of Fashion,Japan’s Asics to Boost India Sportswear Production to 40%,https://www.businessoffashion.com/news/retail/japans-asics-to-boost-india-sportswear-production-to-40/,The shift comes after new Indian restrictions forced global brands to pause imports of footwear.,[],2025-06-16T16:35:18,7,INDUSTRY,TARIFFS/SUPPLY CHAIN,ungrouped,1
Business of Fashion,Why Kering Picked a Fashion Outsider to Be Its Next CEO,https://www.businessoffashion.com/articles/luxury/kering-new-ceo-luca-de-meo-francois-henri-pinault/,"The Gucci and Saint Laurent owner is splitting its chairman and CEO roles, bringing in Luca de Meo, a turnaround expert who has revived multiple automotive brands, to support the Pinault family.",[],2025-06-16T15:46:57,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,Lululemon Is Cutting 150 Corporate Employees After Review,https://www.businessoffashion.com/news/retail/lululemon-is-cutting-150-corporate-employees-after-review/,"The impacted roles are at the retailer’s store support centres, according to a statement from the company.",[],2025-06-18T15:42:51,7,INDUSTRY,FINANCIALS,ungrouped,1
Business of Fashion,How Prestige Beauty Customers Define Value Today,https://www.businessoffashion.com/articles/beauty/how-prestige-beauty-consumers-define-value-today-unilever-prestige-ceo-mary-carmen-gasco-buisson-interview/,"At The Business of Beauty Global Forum 2025, Unilever Prestige’s CEO, Mary Carmen Gasco-Buisson, shares how shifting consumer expectations around value are reshaping prestige beauty, in conversation with BoF’s chief business officer and head of beauty, Johanna Stout.",[],2025-06-20T04:00:00,7,INDUSTRY,RETAIL STRATEGY,ungrouped,1
WWD,Supplement Company Veracity Secures $6 Million Raise as It Focuses on Metabolic Health,https://wwd.com/beauty-industry-news/wellness/veracity-supplement-6-million-raise-1237923254/,The raise was led by Maveron Ventures and co-led by Melitas Ventures.,"['Wellness', 'investment', 'wellness']",2025-06-17T19:46:45,7,INDUSTRY,FINANCIALS,ungrouped,1
