source,title,url,summary,tags,published
Business of Fashion,The World Is Getting Warmer. Fashion Thinks it Can Handle the Heat.,https://www.businessoffashion.com/articles/sustainability/fashion-climate-change-material-risk-financial-impact/,"Weather extremes like the sizzling heatwaves that blanketed Europe and the US this week pose a growing threat to business. But in recently released investor reports, big fashion brands say they don’t see climate as a material risk in the near term.",[],2025-07-04T12:27:38
Business of Fashion,How Lululemon’s Anti-Dupe Lawsuit Became Free Marketing for Costco,https://www.businessoffashion.com/briefings/retail/how-lululemons-anti-dupe-lawsuit-became-free-marketing-for-costco/,"Unlike typical IP battles, Lululemon’s dispute with Costco is playing out in the court of public opinion — where consumers increasingly favour dupes over pricey originals.",[],2025-07-04T12:00:00
Business of Fashion,H&M Releases First Images With AI Digital Twins,https://www.businessoffashion.com/news/technology/hm-releases-first-images-with-ai-digital-twins/,"The company debuted the images on Instagram on Wednesday, in a post that explained its approach to AI imagery.",[],2025-07-03T17:26:06
Business of Fashion,The Fashion Revival of Basketball Sneakers,https://www.businessoffashion.com/articles/sports/stylish-performance-basketball-sneakers/,A wave of new performance basketball sneakers featuring fresh designs has shoppers once again considering the category for fashion and not just for wear on the court.,[],2025-07-04T04:33:00
Business of Fashion,BoF Masterclass |The State of Fashion: Beauty Volume 2,https://www.businessoffashion.com/events/beauty/bof-masterclass-the-state-of-fashion-beauty-volume-2/,Join us for a BoF Professional Masterclass that explores the topic in “The State of Fashion: Beauty Volume 2.”,[],2025-07-04T10:03:49
Business of Fashion,Opinion: Luxury Brands Have Tennis Fever,https://www.businessoffashion.com/opinions/sports/op-ed-luxury-brands-have-tennis-fever/,"High-end labels are piling into tennis, but the women’s tour remains an untapped opportunity, writes Daniel-Yaw Miller.",[],2025-07-03T16:33:36
Business of Fashion,"For Retailers, US-Vietnam Trade Deal Leaves Questions",https://www.businessoffashion.com/articles/retail/us-tariffs-nike-adidas-vietnam-trade-deal/,New US tariffs on Vietnamese imports create uncertainty for sportswear and clothing retailers like Nike and Adidas.,[],2025-07-04T09:47:43
Business of Fashion,Anderson Apotheosis: JW Remodels His Own Brand,https://www.businessoffashion.com/opinions/luxury/anderson-apotheosis-jw-remodels-his-own-brand/,"Days after his debut for Dior, the designer speaks exclusively to Tim Blanks about rebooting the JW Anderson label with a supremely idiosyncratic cabinet of curiosities, from coffee cups to garden tools to diamonds.",[],2025-07-03T04:30:00
Business of Fashion,Why Sunscreen Launches Keep Missing the Inclusivity Mark,https://www.businessoffashion.com/articles/beauty/mineral-sunscreens-darker-skin-flop-launches/,"Sunscreen is the latest product to attract consumer ire, with numerous brands releasing so-called ‘universal’ offerings that, in practice, often don’t work on darker skin tones. Fixing formulations, however, isn’t easy.",[],2025-07-02T11:00:00
Business of Fashion,How Golf Fashion Made It to Gen-Z’s For You Page,https://www.businessoffashion.com/articles/sports/how-golf-fashion-made-it-to-gen-z-fore-you-page-4/,Brands are making golf fashionable for women through unexpected collaborations and creator content that flips the sport’s once elitist connotation on its head.,[],2025-07-03T04:30:00
