source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
WWD,‘Fragrances Are the New Sneakers’: How Perfume Became a Teen Status Symbol,https://wwd.com/beauty-industry-news/fragrance/fragrance-teens-boys-girls-viral-tiktok-perfume-1237900380/,"Fragrance-savvy teenagers are driving discovery and shaping trends within the scent category, which has become an avenue for both self-expression and community among the cohort.","['Fragrance', 'Consumer Behavior', 'fragrance', 'Retail Sales', 'Trends', 'viral']",2025-06-27T04:01:00,11,FRAGRANCE,"GEN Z, CONSUMER BEHAVIOR, TRENDS, RETAIL SALES",ungrouped,1
Business of Fashion,Report: Unilever to Pay $1.5 Billion For Dr. Squatch,https://www.businessoffashion.com/news/beauty/report-unilever-to-pay-15-billion-for-dr-squatch/,"The mass personal care brand’s sale price topped £1 billion, according to a report in the Financial Times.",[],2025-06-27T11:23:46,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
Business of Fashion,Elliott-Backed Claire’s Eyes Sale as Tariffs Hit Budget Jeweller,https://www.businessoffashion.com/news/retail/elliott-backed-claires-eyes-sale-as-tariffs-hit-budget-jeweller/,Claire’s needs to address a nearly $500 million loan due in December 2026 and recently chose to defer interest payments on its debt to conserve cash.,[],2025-06-23T17:07:24,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,The BoF Podcast |  Yasmin Sewell: Intuition Can Be a Superpower in Business,https://www.businessoffashion.com/podcasts/beauty/the-bof-podcast-yasmin-sewell-intuition-can-be-a-superpower-in-business/,"After two decades in fashion, Yasmin Sewell founded Vyrao, a fragrance brand built on energy, intuition and healing. At The Business of Beauty Global Forum 2025, she shared how she turned a moment of personal upheaval into a deeply personal business.",[],2025-06-27T19:10:01,9,FRAGRANCE,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,Calvin Klein Bets on Body Sprays to Be Gen-Z’s Obsession,https://www.businessoffashion.com/articles/beauty/calvin-klein-launches-body-mists/,"As the fight for teen relevancy and wallet share intensifies, the Coty-produced fragrance line will launch an all-new collection of affordable body mists.",[],2025-06-23T12:00:00,9,FRAGRANCE,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,How Prestige Beauty Customers Define Value Today,https://www.businessoffashion.com/articles/beauty/how-prestige-beauty-consumers-define-value-today-unilever-prestige-ceo-mary-carmen-gasco-buisson-interview/,"At The Business of Beauty Global Forum 2025, Unilever Prestige’s CEO, Mary Carmen Gasco-Buisson, shares how shifting consumer expectations around value are reshaping prestige beauty, in conversation with BoF’s chief business officer and head of beauty, Johanna Stout.",[],2025-06-20T04:00:00,9,INDUSTRY,"RETAIL STRATEGY, GEN Z",ungrouped,1
WWD,Global Beauty Giants’ Early Bets on the Eastern Fragrance Wave,https://wwd.com/beauty-industry-news/fragrance/global-beauty-giants-early-bets-niche-fragrance-asia-1237916146/,Strategics’ venture capital arms are placing bets on niche Asian fragrance brands being the next big thing amid changing habits in the region.,"['Fragrance', 'beauty', 'Estée Lauder', 'fragrance', 'investment', 'L’Oréal']",2025-06-27T04:29:00,9,FRAGRANCE,"INVESTMENT, GEN Z",ungrouped,1
Glossy,The fragrance brands dominating Instagram are not the same ones making bank on TikTok,https://www.glossy.co/beauty/the-fragrance-brands-dominating-instagram-are-not-the-same-ones-making-bank-on-tiktok/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Luxury brands like Parfums de Marly and Kilian dominated Instagram for the month of May, according to a new report from Mintoiro. The more polished aesthetic dominant on Instagram does not always translate well to TikTok’s more DIY appeal, however.",['Beauty'],2025-06-25T04:04:00,9,FRAGRANCE,"TIKTOK, GEN Z",ungrouped,1
Business of Fashion,BoF Insights | The New Era of Fashion E-Commerce,https://www.businessoffashion.com/reports/retail/bof-insights-e-commerce-retail-amazon-fashion-sports/,"Based on a proprietary survey of fashion shoppers across the EU5 — those in the UK, Germany, France Italy and Spain — and BoF Insights intelligence, this new report, developed in collaboration with Amazon Fashion & Sports in Europe, reveals how fashion brands can meet rising customer expectations and nurture long-term loyalty in an increasingly competitive online retail landscape.",[],2025-06-23T04:30:00,8,RETAIL,"RETAIL STRATEGY, PARTNERSHIP",ungrouped,1
Business of Fashion,Ben Gorham to Exit Byredo,https://www.businessoffashion.com/news/beauty/ben-gorham-to-exit-byredo/,The founder of the Swedish fragrance label is stepping down as Puig completes its takeover.,[],2025-06-18T09:50:30,7,INDUSTRY,M&A,ungrouped,1
