source,title,url,summary,tags,published
Business of Fashion,How Niche Perfumers Pay to Win,https://www.businessoffashion.com/articles/beauty/niche-perfumers-ingredient-retail-spending/,"Luxury fragrance houses like Marc-Antoine Barrois, Amouge and Krigler are pouring investment into their retail spaces, master perfumers and artisanal manufacturing — and reaping double-digit sales growth.",[],2025-06-03T12:00:00
Business of Fashion,How Beauty Plans to Crack Substack,https://www.businessoffashion.com/articles/beauty/beauty-brands-substack-strategies/,"From founders to brands, beauty’s A-list is embracing Substack as a medium for long-form storytelling. Veterans of the platform say that businesses have to invest in their editorial strategies, or need not apply.",[],2025-08-13T12:00:00
Business of Fashion,Shopee-Owner Sea Sales Top Estimates as Online Shoppers Keep Spending,https://www.businessoffashion.com/news/retail/shopee-owner-sea-sales-top-estimates-as-online-shoppers-keep-spending/,The results assuage some concerns about the prospects of the Singapore-based company’s  e-commerce arm.,[],2025-08-12T14:36:03
Business of Fashion,S&P Downgrades Anastasia Beverly Hills After Missed Payment,https://www.businessoffashion.com/news/beauty/anastasia-beverly-hills-downgraded-sp-missed-payment/,The Los Angeles-based beauty brand’s credit rating has been lowered to ‘D’ by the agency.,[],2025-08-13T03:13:22
Business of Fashion,US Prices Continued Rise in July as Trump Tariffs Impact Consumer Costs,https://www.businessoffashion.com/news/global-markets/us-prices-continued-rise-in-july-as-trump-tariffs-impact-consumer-costs/,"Trump has spent the last few months directing his ire at economic officials — first at the Fed, and now at the Bureau of Labor Statistics, which collects and reports economic data.",[],2025-08-12T14:40:24
Business of Fashion,Mejuri Wants to Bring Jewellery Back to Sports,https://www.businessoffashion.com/articles/sports/us-open-mejuri-tennis-racquet-magazine-collaboration/,"DTC fine jewellery brand Mejuri is entering the sports world through a new collaboration with Racquet Magazine, set to release to the public ahead of the US Open.",[],2025-08-13T04:30:00
Business of Fashion,How the New York Liberty Became the WNBA’s Most Fashionable Team,https://www.businessoffashion.com/articles/sports/new-york-liberty-most-fashionable-wnba-team/,"Fashion is emerging as a key growth driver for the championship organisation, attracting new audiences and amplifying its relevance at a crucial moment for the WNBA.",[],2025-08-13T04:28:00
Business of Fashion,How Tuckernuck Went From Fashion Outsider to E-Commerce Darling,https://www.businessoffashion.com/articles/retail/how-tuckernuck-went-from-fashion-outsider-to-e-commerce-darling/,"Three friends with no fashion background built a $100 million retail business in Washington, DC by doing what Farfetch and Matches Fashion couldn’t: defining their customer and sticking to their preppy aesthetic.",[],2025-08-13T04:30:00
Business of Fashion,Why Influencers Are Courting Legacy Media,https://www.businessoffashion.com/articles/media/why-influencers-are-courting-legacy-media/,"TikTok stars are seeking prestige and credibility from publications like Vogue and The New York Times — trading viral moments for lasting influence. But to be effective, influencers and publicists alike need to consider if their talent is actually news-worthy.",[],2025-08-12T04:30:00
Business of Fashion,"Nykaa Revenue Surges, Profit Doubles in Second Quarter",https://www.businessoffashion.com/news/beauty/nykaa-revenue-surges-profit-doubles-in-second-quarter/,"FSN E-Commerce Ventures, parent company of India's largest beauty retailer, said its revenues lifted by 24 percent on demand for newly added brands like Chanel and Supergoop.",[],2025-08-12T14:47:19
Business of Fashion,"Olaplex Finds Success in Direct-to Consumer, Net Sales Increase",https://www.businessoffashion.com/news/hair-care/olaplex-sales-lift-2q25/,"The US hair care company reported a 2.3 percent sales gain, its first in four quarters, and has made inroads on its transformation strategy, chief executive Amanda Baldwin told The Business of Beauty.",[],2025-08-07T13:30:00
Business of Fashion,"‘Farm Babe’ Influencer Fights For GMOs, Against MAHA",https://www.businessoffashion.com/articles/beauty/farm-babe-fights-for-gmos-against-maha-influencers/,"US influencer Michelle Miller aims to debunk misinformation around farming practices, but is up against a louder political movement that aims to reconfigure America's food industry.",[],2025-08-12T14:54:33
Business of Fashion,Inside America’s Fast Fashion Graveyard,https://www.businessoffashion.com/articles/retail/inside-americas-fast-fashion-graveyard/,"In a bordertown in Texas, towering heaps of discarded clothing from across the country fill sprawling warehouses — the last stop in a global supply chain overflowing with fast fashion castoffs. One woman is trying to save what she can, one thrift tour at a time.",[],2025-08-12T04:06:00
Business of Fashion,Adidas Apologises for Sandal Appropriating Indigenous Mexican Design,https://www.businessoffashion.com/news/retail/adidas-apologises-for-sandal-appropriating-indigenous-mexican-design/,"The Oaxaca slip-on, launched five days ago by Mexican-American designer Willy Chavarria with Adidas, features a black sneaker sole topped with the leather weave typical of Mexico’s huarache sandals.",[],2025-08-11T21:26:41
Business of Fashion,Luxury Jeweller Fabergé Sold to Tech Investor in $50 Million Deal,https://www.businessoffashion.com/news/luxury/luxury-jeweller-faberge-sold-to-tech-investor-in-50m-deal/,"The renowned jeweller known for its imperial Russian Easter eggs, has been sold to technology investor Sergei Mosunov’s SMG Capital for $50 million, as its parent company Gemfields seeks to fund its mining operations.",[],2025-08-11T13:55:16
Business of Fashion,Mexico Wants Adidas to Pay Up After Indigenous-Inspired Collaboration with Willy Chavarria,https://www.businessoffashion.com/news/retail/mexico-adidas-willy-chavarri-oaxaca-slip-on-legal-action/,"Mexico is pursuing possible legal action against Adidas after Chavarria released the 'Oaxaca Slip On,' which allegedly copies the traditional, Indigenous huarache sandal without credit or benefit to local artisans.",[],2025-08-11T10:34:49
Business of Fashion,Worldview | Small Indian Apparel Exporters Face ‘Death Knell’ From US Tariffs,https://www.businessoffashion.com/articles/global-markets/worldview-small-indian-apparel-exporters-face-death-knell-from-us-tariffs/,"This week’s round-up of global markets fashion business news also features Bluestone’s IPO, LPP’s big Uzbekistan push and a reprieve for Lesotho garment factories.",[],2025-08-12T10:25:21
Business of Fashion,"Swiss Sneaker Brand On Lifts Sales Forecast as Europe, Asia Fuel Demand",https://www.businessoffashion.com/news/sports/swiss-sneaker-brand-on-lifts-sales-forecast-as-europe-asia-fuel-demand/,On raised its sales and earnings outlooks for the year after an unexpectedly strong second quarter that saw buyers in Europe and Asia snap up the Swiss sneaker maker’s high-priced footwear.,[],2025-08-12T09:50:38
