source,title,url,summary,tags,published
Business of Fashion,"For Makeup that Performs, Look to Drag Queens",https://www.businessoffashion.com/articles/beauty/for-makeup-that-performs-look-to-drag-queens/,"The art of drag has undeniably influenced how ordinary people shop for and apply their cosmetics. More recently, a new guard of queens is hoping to cash in on the transaction.",[],2025-06-26T11:00:00
Business of Fashion,"Retail Emerges as Most Distressed Sector in Europe, Report Says",https://www.businessoffashion.com/news/retail/retail-emerges-as-most-distressed-sector-in-europe-report-says/,"Retail is suffering from weak discretionary spending, margin compression and tightening credit conditions, pushing distress in the sector to the highest level since the global financial crisis in 2009.",[],2025-06-26T10:13:07
Business of Fashion,"Ulta Beauty Chief Financial Officer to Depart, Interim Leader Appointed",https://www.businessoffashion.com/news/beauty/ulta-beauty-chief-financial-officer-to-depart-interim-leader-appointed/,The American cosmetics retailer said on Wednesday that longtime financial executive Chris Lialios will serve as interim chief financial officer until it finds a suitable replacement for outgoing CFO Paula Oyibo.,[],2025-06-25T14:23:34
Business of Fashion,Fantastic Man Magazine Launches in China,https://www.businessoffashion.com/news/media/fantastic-man-magazine-launches-in-china/,Former Yves Saint Laurent creative director Stefano Pilati will join Fantastic Man China as editor at large.,[],2025-06-26T04:00:00
Business of Fashion,New Balance Bets Its Basketball Future on Cooper Flagg,https://www.businessoffashion.com/articles/marketing-pr/new-balance-bets-its-basketball-future-on-cooper-flagg/,The brand known for its running shoes is making its mark in the basketball business after signing 18-year-old NBA Draft top pick Cooper Flagg.,[],2025-06-25T14:30:05
Business of Fashion,"Can Korean Fashion Be as Big as K-Beauty, or K-Pop?",https://www.businessoffashion.com/articles/global-markets/korean-fashion-post-archive-faction-gentle-monster/,"K-fashion made significant inroads in becoming a part of a global fashion conversation in 2025, with brands like Post Archive Faction and Gentle Monster grabbing attention. But scaling the category to become as big as other cultural exports remains challenging.",[],2025-06-26T04:30:00
Business of Fashion,The End of the Founder-Led Era,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-report-founder-led-beauty-brands/,"Over the last decade, an avalanche of brands with public-facing founders emerged. While a prominent founder can propel growth, customers use other factors to assess whether a brand is suited to their needs, according The State of Fashion: Beauty Volume 2.",[],2025-06-26T04:30:00
Business of Fashion,AI Shopping Platform Daydream Launches in the US,https://www.businessoffashion.com/news/technology/ai-shopping-platform-daydream-launches-in-the-us/,"The site, co-founded by Julie Bornstein, aims to reimagine online shopping with the capabilities of the large language models underlying AI tools such as ChatGPT.",[],2025-06-25T12:00:00
Business of Fashion,The Tenth Edition of BoF VOICES Is Coming: First Speakers Announced,https://www.businessoffashion.com/events/news-analysis/bof-voices-2025-first-speakers-announced/,"Prada Group CEO Andrea Guerra, model Jean Campbell and MSCHF founder Gabriel Whaley are among the global experts who will share their insights at BoF’s annual gathering for big thinkers, now in its tenth year.",[],2025-06-25T02:00:00
Business of Fashion,Swiss Antitrust Authorities Open Investigation Into Nivea Pricing,https://www.businessoffashion.com/news/beauty/swiss-antitrust-authorities-open-investigation-into-nivea-pricing/,"The group known as COMCO said on Tuesday it will investigate the mass skincare brand’s parent company, Beiersdorf, over a pricing dispute with a local retailer.",[],2025-06-25T11:04:27
Business of Fashion,The Indie Beauty Brands Transforming Africa’s Hair Care Market,https://www.businessoffashion.com/articles/beauty/the-indie-beauty-brands-transforming-africas-hair-care-market/,"A crop of upstart brands are betting on Africa for their next global expansion, ready to benefit from the continent’s growing middle class. To kick-start Africa’s premium hair care market, they’ll need to carefully consider marketing and retailer strategy, as well create a new value proposition.",[],2024-12-11T09:47:00
Business of Fashion,The Founders Pushing African Fragrance Into the Mainstream,https://www.businessoffashion.com/articles/beauty/african-fragrance-brands-havent-hit-the-mainstream-yet-these-founders-want-to-change-that/,"Across the continent, a handful of nascent brands are attempting to kickstart the continent’s own niche perfume moment. Success will take mastery of retail, e-commerce and branding across borders.",[],2024-10-15T04:45:00
Business of Fashion,Selfridges Wins Approval for Private Members’ Club,https://www.businessoffashion.com/news/luxury/selfridges-wins-approval-for-private-members-club/,The Westminster City Council approved an application to convert space in the department store’s flagship London outlet into a membership venue with a terrace and private dining room.,[],2025-06-24T21:54:27
Business of Fashion,Forever 21’s US Operator Wins Court Approval to Liquidate,https://www.businessoffashion.com/news/retail/forever-21s-us-operator-wins-court-approval-to-liquidate/,The embattled fast-fashion company's repayment plan includes a settlement with lenders and former Forever 21 parent Sparc Group that’s designed to boost recoveries for unsecured creditors that stood to get pennies on the dollar.,[],2025-06-24T21:45:17
Business of Fashion,Glossier CEO Kyle Leahy to Exit,https://www.businessoffashion.com/news/beauty/glossier-ceo-kyle-leahy-to-exit/,"After three years as chief executive, Leahy will step down from her role by year-end, and will retain her board seat while assisting the company in finding a successor.",[],2025-06-24T17:27:41
Business of Fashion,"Swedish Textile Recycler Syre to Partner With Gap, Target as Demand for Sustainable Clothing Grows",https://www.businessoffashion.com/news/sustainability/swedish-textile-recycler-syre-to-partner-with-gap-target-as-demand-for-sustainable-clothing-grows/,The H&amp;M-backed textile recycling firm will supply the US retailers with recycled polyester.,[],2025-06-24T14:43:15
Business of Fashion,"Inside Gap’s Last-Ditch, Tariff-Addled Turnaround Push",https://www.businessoffashion.com/articles/retail/inside-gaps-last-ditch-tariff-addled-turnaround-push/,The iconic ’90s retailer was on the precipice of death for years. Richard Dickson finally had momentum for a comeback — then came Trump.,[],2025-06-24T16:54:00
Business of Fashion,Target Explores Factory-Direct Shipping Model Used by Temu,https://www.businessoffashion.com/news/retail/target-explores-factory-direct-shipping-model-used-by-temu/,"The retailer is in early stages to broaden its range of low-cost offerings, which would primarily include apparel, household goods and other non-food items.",[],2025-06-24T21:49:44
Business of Fashion,The ‘Silicon Valleys’ of Beauty Brace for Tariffs,https://www.businessoffashion.com/articles/beauty/korea-australia-niche-beauty-capital-hubs/,"From Seoul to Melbourne, new cities are emerging as frontrunners in the beauty start-up space. The independent brands created in these hubs are fast becoming hot acquisition targets, but understanding the limits of their global appeal is key.",[],2025-06-25T04:00:00
Business of Fashion,The Return of Old-School Celebrity Campaigns,https://www.businessoffashion.com/articles/marketing-pr/the-return-of-the-celebrity-pitch/,Brands are reverting to retro celebrity testimonials to drive awareness and renewed interest among ad-weary consumers.,[],2025-06-25T04:30:00
Business of Fashion,Ready for Relaunch? Jonathan Anderson’s Dior Challenge,https://www.businessoffashion.com/articles/luxury/jonathan-anderson-dior-lvmh-turnaround-basquiat-warhol-mbappe/,The stakes are high for the designer’s debut at the French megabrand as owner LVMH faces mounting pressure to resolve problem areas in its portfolio.,[],2025-06-25T04:00:00
Business of Fashion,How Haus Labs Mastered the Art of the Comeback,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-bof-mckinsey-report-haus-labs-interview-ben-jones/,"The Lady Gaga-fronted line went through a renaissance, changing its product offering, distribution and overall look and feel to better connect with customers. CEO Ben Jones tells The State of Fashion: Beauty Volume 2 how the brand pulled it off.",[],2025-06-25T04:30:00
Business of Fashion,How Turkish Brands Conquered the ‘Rest of the World’,https://www.businessoffashion.com/articles/global-markets/lc-waikiki-koto-defacto-global-markets-turkey/,"Turkish fast-fashion giants LC Waikiki, Koton and DeFacto have rolled out hundreds of stores in high-growth, high-risk frontier markets like Albania, Uganda and Mongolia where rivals H&amp;M and Zara have little or no presence.",[],2025-06-24T14:21:53
Business of Fashion,"The Debrief | The Jewellery Boom, Explained",https://www.businessoffashion.com/podcasts/luxury/the-debrief-the-jewellery-boom-explained/,"Even as luxury fashion brands face declining demand, jewellery sales are booming. The Debrief explores how smaller designers and novel pieces are capturing consumer interest and finding new paths to growth.",[],2025-06-24T18:23:41
Business of Fashion,"Worldview | Iran-Israel War Disrupts Local Businesses, Poses Global Risks",https://www.businessoffashion.com/articles/global-markets/worldview-iran-israel-war-disrupts-local-businesses-poses-global-risks/,"This week’s round-up of global markets fashion business news also features JD.com’s turnaround plan, pan-African e-commerce giant Jumia and Ecuador’s crackdown on Chinese e-tailers.",[],2025-06-24T14:59:40
Business of Fashion,Amorepacific’s Road to Success,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-bof-mckinsey-report-amorepacific-interview-sean-kim-k-beauty/,"The K-beauty corporation behind brands like Laneige, Aestura and Sulwhasoo sees global expansion and ongoing innovation as keys to growth, chief executive Sean Kim explains in The State of Fashion: Beauty Volume 2.",[],2025-06-19T04:30:00
Business of Fashion,Telfar’s 20th Anniversary Show: A Celebration With a Message,https://www.businessoffashion.com/articles/creative-class/telfar-throws-20th-anniversary-fashion-show-in-soho/,"On Saturday, the brand, best known for its cult favourite ‘Bushwick Birkin’ totes, held its first runway presentation in three years in an alleyway behind its flagship store, where family and community came first.",[],2025-06-23T04:30:00
Business of Fashion,Unilever to Acquire Men’s Personal Care Brand Dr. Squatch,https://www.businessoffashion.com/news/beauty/unilever-acquires-dr-squatch/,"The consumer goods giant announced on Monday that it had signed a definitive agreement to acquire the American men’s brand, known for its soaps and grooming products.",[],2025-06-23T19:02:14
Business of Fashion,Elliott-Backed Claire’s Eyes Sale as Tariffs Hit Budget Jeweller,https://www.businessoffashion.com/news/retail/elliott-backed-claires-eyes-sale-as-tariffs-hit-budget-jeweller/,Claire’s needs to address a nearly $500 million loan due in December 2026 and recently chose to defer interest payments on its debt to conserve cash.,[],2025-06-23T17:07:24
Business of Fashion,Chinese Makeup Brands Are Winning Over Global Consumers,https://www.businessoffashion.com/articles/professional/chinese-makeup-brands-are-winning-over-global-consumers/,"As the popularity of alternative social media platforms like RedNote grows outside of China, domestic beauty brands like Florasis and Judydoll are reaping the benefits.",[],2025-06-23T11:25:52
Business of Fashion,Hilton to Enter Cruise Business with Waldorf Astoria Nile Ship,https://www.businessoffashion.com/articles/professional/hilton-to-enter-cruise-business-with-waldorf-astoria-nile-ship/,"The hotel group’s Waldorf Astoria Nile River Experience, set to launch in late 2026, follows similar moves by Ritz-Carlton, Four Seasons, Orient Express and Aman.",[],2025-06-24T09:18:31
Business of Fashion,Why Jewellery Feels Like a Better Deal Than a Handbag,https://www.businessoffashion.com/articles/luxury/why-jewellery-feels-like-a-better-deal-than-a-handbag/,"Jewellery brands have raised prices less than fashion labels, and now benefit from a stronger sense of lasting value.",[],2025-06-24T04:30:00
Business of Fashion,Can TikTok’s ‘Shirtless Race’ Become More than a Trend?,https://www.businessoffashion.com/articles/beauty/can-tiktoks-shirtless-race-become-more-than-a-trend/,"Hyrox, a grueling strength-and-endurance race that pops up in major cities, is far more than a workout to its legions of fans. Now it's betting on becoming the next spectator sport.",[],2025-06-24T11:00:00
Business of Fashion,How Kiko Milano Built Pricing Power,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-bof-mckinsey-report-kiko-milano-interview-simone-dominici/,"The Italian cosmetics giant has deftly engineered a premiumisation strategy, and has elevated its distribution, product selection and points of differentiation, heavily reducing discounts and promotions in the process. Chief executive Simone Dominici explained how it deployed its strategy in The State of Fashion: Beauty Volume 2.",[],2025-06-24T04:30:00
Business of Fashion,Customers Want Beauty Brands to Prove Their Worth,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-report-value-price-mass-brands/,"As beauty customers grow more selective and cost-conscious, brands must demonstrate a clear and ownable value proposition, regardless of price, according to the BoF-McKinsey State of Fashion: Beauty report Volume 2.",[],2025-06-18T04:00:00
Business of Fashion,The Fashion and Beauty Opportunity on Snapchat in the Gulf,https://www.businessoffashion.com/articles/marketing-pr/fashion-and-beauty-brand-opportunity-on-snapchat-in-gcc-gulf-region-hussein-freijeh-interview/,"BoF sits down with Snap Inc.’s vice president and general manager of the Middle East, Hussein Freijeh, to learn more about the changing social media landscape in the Gulf, its impact on consumer behaviour, and the new opportunities it presents for fashion and beauty brands to reach audiences in the region.",[],2025-06-24T05:00:01
Business of Fashion,Exclusive: The Whitaker Group Expands With New Women-Centric Retailer Jaide,https://www.businessoffashion.com/news/retail/the-whitaker-group-jaide-opening/,It will be the US group’s first foray into women’s retail as it looks to expand its popular streetwear retail empire.,[],2025-06-23T04:28:00
Business of Fashion,"At Milan Fashion Week, Highs and Lows",https://www.businessoffashion.com/reviews/fashion-week/milan-menswear-spring-summer-2026/,"Milan’s menswear showcase felt particularly frail this season, though there were a few standouts, reports Angelo Flaccavento.",[],2025-06-23T22:56:26
Business of Fashion,Exclusive: Skims’ Plan for Global Domination,https://www.businessoffashion.com/articles/retail/skims-plan-for-global-domination/,"Kim Kardashian’s shapewear brand is preparing to enter many new markets in the US and, increasingly, globally. CEO Jens Grede spoke with The Business of Fashion about his vision to create ‘the Apple store of apparel.’",[],2025-06-23T04:00:00
