source,title,url,summary,tags,published
Business of Fashion,This Week: How Far Does the Power of Brand Go?,https://www.businessoffashion.com/articles/retail/this-week-how-far-does-the-power-of-brand-go/,"On Running and Tapestry report earnings this week amid rising inflation and cautious consumers. Following strong performances from Ralph Lauren and E.l.f. Beauty, these results will continue to test whether brand power is a match for economic uncertainty.",[],2025-08-10T12:00:00
Business of Fashion,"Brands Are Using OnlyFans Stars to Make Sex Sell, Again",https://www.businessoffashion.com/articles/marketing-pr/brands-onlyfans-stars-making-sex-sell/,"After years of risk aversion, brands are returning to more sex-centric advertising. The new twist on the age-old tactic incorporates everything from OnlyFans creators to steamy novels.",[],2025-08-08T04:30:00
Business of Fashion,"Olaplex Finds Success in Direct-to Consumer, Net Sales Increase",https://www.businessoffashion.com/news/hair-care/olaplex-sales-lift-2q25/,"The US hair care company reported a 2.3 percent sales gain, its first in four quarters, and has made inroads on its transformation strategy, chief executive Amanda Baldwin told The Business of Beauty.",[],2025-08-07T13:30:00
Business of Fashion,End Times for Swiss Watchmakers?,https://www.businessoffashion.com/articles/luxury/end-times-for-swiss-watchmakers/,"This week, President Trump’s tariff on Switzerland went into effect, landing levies of 39 percent on every watch the country exports to the US. For some Swiss watchmakers, the threat is existential.",[],2025-08-08T18:00:00
Business of Fashion,Can a Shaving Company Teach Girl Scouts About Confidence?,https://www.businessoffashion.com/articles/beauty/flamingo-shaving-girl-scouts-america-camp-confidence/,"Flamingo, a brand under the Harry’s shaving umbrella, debuts a Merit Badge with the Girl Scouts of the USA for “body appreciation.”",[],2025-08-08T12:00:00
Business of Fashion,London’s Luxury Hotels Have Hit Their Price Ceiling,https://www.businessoffashion.com/articles/luxury/londons-luxury-hotels-have-hit-their-price-ceiling/,"With more luxury openings driving up supply and economic uncertainty tamping down demand, top London hotels are recalibrating their prices.",[],2025-08-08T14:15:30
Business of Fashion,Crocs Shares Slump 30% Amid Tariffs and Decline of ‘Ugly Shoe’ Trend,https://www.businessoffashion.com/news/retail/crocs-shares-slump-30-amid-tariffs-and-decline-of-ugly-shoe-trend/,"Stock plummeted after the foam footwear maker predicted revenues could drop by between 9 and 11 percent in the current quarter, disappointing analysts who were expecting slight growth.",[],2025-08-08T14:00:05
Business of Fashion,"The BoF Podcast | James Whitner on Culture, Community and Building Brands with Purpose",https://www.businessoffashion.com/podcasts/creative-class/the-bof-podcast-james-whitner-on-culture-community-and-building-brands-with-purpose/,"From the importance of playing the “long game” to staying optimistic amid social and political change, the founder of The Whitaker Group, known for boutiques like A Ma Maniére and Social Status, shares what it takes to merge culture, community, and commerce.",[],2025-02-28T18:34:08
Business of Fashion,Under Armour Forecasts Downbeat Second-Quarter Sales,https://www.businessoffashion.com/news/sports/under-armour-forecasts-downbeat-second-quarter-sales/,"The Maryland-based sportswear maker has struggled to drive up demand in the past two years, with efforts to revive the business having hit more roadblocks in recent months due to the Trump administration's shifting tariff policies.",[],2025-08-08T13:42:25
Business of Fashion,Can India Become the World’s Fashion Factory?,https://www.businessoffashion.com/articles/global-markets/can-india-become-the-worlds-fashion-factory/,"As US president Donald Trump’s punishing new tariffs come into force, India is working towards becoming an apparel manufacturing powerhouse despite long-standing obstacles.",[],2025-08-08T13:32:46
Business of Fashion,"Why Shoes Keep Shrinking: Flip-Flops, Flats and Slim Sneakers",https://www.businessoffashion.com/articles/retail/why-shoes-keep-shrinking-flip-flops-flats-and-slim-sneakers/,"Thinner, more minimalist — naked, even — shoes are driving growth from sandals to sneakers.",[],2025-08-07T04:30:00
Business of Fashion,"Revolution Beauty Rejects Bid From Private Equity Firm, Sources Say",https://www.businessoffashion.com/news/beauty/revolution-beauty-rejects-bid-private-equity-firm-true/,"The cosmetic group has rejected a takeover offer from True, a private equity firm, and is now likely to pursue a capital raise from existing shareholders.",[],2025-08-08T11:26:56
Business of Fashion,Inside the First Dior Spa in the US,https://www.businessoffashion.com/articles/luxury/dior-spa-new-york-flagship-opening/,The opening of the multi-level space atop Dior’s New York flagship is the latest move in the brand’s push into spas.,[],2025-08-08T11:01:11
Business of Fashion,"The RealReal Posts Record Quarterly Revenue, Raises Annual Forecast",https://www.businessoffashion.com/news/retail/the-realreal-posts-record-quarterly-revenue-raises-annual-forecast/,"The luxury resale platform expanded its EBITDA margin as well, demonstrating that the secondhand fashion sector stands to benefit from tariffs and rising prices in high-end fashion.",[],2025-08-07T21:34:14
Business of Fashion,How I Became… Reformation’s Chief Sustainability Officer,https://www.businessoffashion.com/articles/workplace-talent/careers-job-advice-kathleen-talbot-reformation-chief-sustainability-officer/,"Kathleen Talbot began her career researching food systems and teaching sustainability, before rising  to the C-suite at Reformation by prioritising mission over industry. Now, she shares her career advice.",[],2025-08-08T05:00:00
Business of Fashion,‘Liquid’ Butt Lifts as Part of Wider UK Cosmetic Procedures Clampdown,https://www.businessoffashion.com/articles/beauty/liquid-butt-lifts-as-part-of-wider-uk-cosmetic-procedures-clampdown/,"Plans to cut down on 'cowboy' cosmetic procedures have been introduced by the government, meaning that only qualified healthcare professionals will be able to perform high-risk treatments.",[],2025-08-07T20:05:23
