source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
WWD,‘Fragrances Are the New Sneakers’: How Perfume Became a Teen Status Symbol,https://wwd.com/beauty-industry-news/fragrance/fragrance-teens-boys-girls-viral-tiktok-perfume-1237900380/,"Fragrance-savvy teenagers are driving discovery and shaping trends within the scent category, which has become an avenue for both self-expression and community among the cohort.","['Fragrance', 'Consumer Behavior', 'fragrance', 'Retail Sales', 'Trends', 'viral']",2025-06-27T04:01:00,11,FRAGRANCE,"CONSUMER BEHAVIOR, RETAIL SALES, TRENDS, GEN Z",ungrouped,1
Business of Fashion,Report: Unilever to Pay $1.5 Billion For Dr. Squatch,https://www.businessoffashion.com/news/beauty/report-unilever-to-pay-15-billion-for-dr-squatch/,Report: Unilever to Pay $1.5 Billion For Dr. Squatch,[],2025-06-27T11:23:46,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
WWD,Global Beauty Giants’ Early Bets on the Eastern Fragrance Wave,https://wwd.com/beauty-industry-news/fragrance/global-beauty-giants-early-bets-niche-fragrance-asia-1237916146/,Strategics’ venture capital arms are placing bets on niche Asian fragrance brands being the next big thing amid changing habits in the region.,"['Fragrance', 'beauty', 'Estée Lauder', 'fragrance', 'investment', 'L’Oréal']",2025-06-27T04:29:00,10,FRAGRANCE,"INVESTMENT, GEN Z",ungrouped,1
Business of Fashion,"Swedish Textile Recycler Syre to Partner With Gap, Target as Demand for Sustainable Clothing Grows",https://www.businessoffashion.com/news/sustainability/swedish-textile-recycler-syre-to-partner-with-gap-target-as-demand-for-sustainable-clothing-grows/,The H&amp;M-backed textile recycling firm will supply the US retailers with recycled polyester.,[],2025-06-24T14:43:15,10,INDUSTRY,"PARTNERSHIP, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Elliott-Backed Claire’s Eyes Sale as Tariffs Hit Budget Jeweller,https://www.businessoffashion.com/news/retail/elliott-backed-claires-eyes-sale-as-tariffs-hit-budget-jeweller/,Claire’s needs to address a nearly $500 million loan due in December 2026 and recently chose to defer interest payments on its debt to conserve cash.,[],2025-06-23T17:07:24,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Business of Fashion,Temu US Sales Plunge 25% Amid Tariff Barrage,https://www.businessoffashion.com/news/retail/temu-us-slaes-drop-tariffs-shein/,"Temu’s US sales are declining due to significant cuts in advertising spending, a direct consequence of new tariffs, while Shein’s sales have begun to recover.",[],2025-06-20T09:47:47,10,INDUSTRY,"TARIFFS/SUPPLY CHAIN, FINANCIALS",ungrouped,1
Business of Fashion,"Worldview | Iran-Israel War Disrupts Local Businesses, Poses Global Risks",https://www.businessoffashion.com/articles/global-markets/worldview-iran-israel-war-disrupts-local-businesses-poses-global-risks/,"This week’s round-up of global markets fashion business news also features JD.com’s turnaround plan, pan-African e-commerce giant Jumia and Ecuador’s crackdown on Chinese e-tailers.",[],2025-06-24T14:59:40,10,INDUSTRY,"TARIFFS/SUPPLY CHAIN, RETAIL STRATEGY",ungrouped,1
Business of Fashion,The Founders Pushing African Fragrance Into the Mainstream,https://www.businessoffashion.com/articles/beauty/african-fragrance-brands-havent-hit-the-mainstream-yet-these-founders-want-to-change-that/,"Across the continent, a handful of nascent brands are attempting to kickstart the continent’s own niche perfume moment. Success will take mastery of retail, e-commerce and branding across borders.",[],2024-10-15T04:45:00,9,FRAGRANCE,"RETAIL STRATEGY, GEN Z",ungrouped,1
WWD,How Fragrance Became a Burgeoning Subculture,https://wwd.com/beauty-industry-news/fragrance/beauty-fragrance-community-enthusiasts-niche-perfumetok-1237913207/,"Following the early-pandemic emergence of #PerfumeTok, fragrance has become a connector across groups and generations. But the category's most fervent enthusiasts aren't just talking about perfume: they're scent-swapping, scent dating and more.","['Fragrance', 'beauty', 'Social Media']",2025-06-27T04:01:00,9,FRAGRANCE,"GEN Z, TIKTOK",ungrouped,1
Business of Fashion,How Prestige Beauty Customers Define Value Today,https://www.businessoffashion.com/articles/beauty/how-prestige-beauty-consumers-define-value-today-unilever-prestige-ceo-mary-carmen-gasco-buisson-interview/,"At The Business of Beauty Global Forum 2025, Unilever Prestige’s CEO, Mary Carmen Gasco-Buisson, shares how shifting consumer expectations around value are reshaping prestige beauty, in conversation with BoF’s chief business officer and head of beauty, Johanna Stout.",[],2025-06-20T04:00:00,9,INDUSTRY,"RETAIL STRATEGY, GEN Z",ungrouped,1
