source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Business of Fashion,"Off-Price Retailer Brand Alley Has Acquired The Edit Ldn, a Sneaker Resale Platform",https://www.businessoffashion.com/news/sports/off-price-retailer-brand-alley-has-acquired-the-edit-ldn-a-sneaker-resale-platform/,"The sale comes after the sneaker platform, which recently attracted investment from several athletes, experienced cash flow issues towards the end of last year.",[],2024-01-12T17:56:46,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
WWD,Inside the Challenges Befalling Black-owned Brands in 2025 — and How They’re Facing Them,https://wwd.com/beauty-industry-news/beauty-features/black-owned-brands-diversity-equity-inclusion-2025-1237953617/,"Black founders and executives weigh in on how M&#38;A slowdowns and diversity, equity and inclusion rollbacks are challenging their businesses.","['Beauty Features', 'investment', 'retail']",2025-07-01T04:01:00,10,INDUSTRY,"M&A, RETAIL STRATEGY",ungrouped,1
Business of Fashion,"Supreme’s Sale to EssilorLuxottica, Explained",https://www.businessoffashion.com/articles/sports/supreme-sale-vf-corp-essilorluxottica/,North Face owner VF Corp is selling the streetwear juggernaut to the Italian eyewear giant for $1.5 billion in cash. BoF breaks down the deal.,[],2024-07-17T21:12:31,10,INDUSTRY,"M&A, FINANCIALS",ungrouped,1
Glossy,Beauty & Wellness Briefing: What’s up with beauty’s executive musical chairs?,https://www.glossy.co/beauty/beauty-wellness-briefing-whats-up-with-beautys-executive-musical-chairs/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Why have so many beauty executives changed roles this year? This week, I checked in with esteemed executive recruiters and industry experts to unpack the many executive hirings and departures happening across the beauty industry. Additionally, Unilever and L’Oréal Group make splashy acquisitions, Ulta Beauty’s CFO suddenly departs, and Neutrogena owner Kenvue plans for dozens of corporate layoffs.","['Beauty', 'Wellness', 'Glossy+', 'plus']",2025-07-01T04:02:00,10,INDUSTRY,"M&A, FINANCIALS, RETAIL STRATEGY",ungrouped,1
Business of Fashion,Watches of Switzerland Warns US Tariffs to Weigh on Margin,https://www.businessoffashion.com/news/luxury/watches-of-switzerland-us-tariffs-margin/,The UK-based luxury watch retailer said its margin on earnings before interest and taxes risks slipping by as much as 100 basis points compared with the previous 12 months.,[],2025-07-03T10:59:31,10,INDUSTRY,"FINANCIALS, TARIFFS/SUPPLY CHAIN",ungrouped,1
Glossy,Can the body mist category grow up?,https://www.glossy.co/beauty/can-the-body-mist-category-grow-up/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Many new body-mist launches are explicitly targeting the lucrative Gen-Z and Gen-Alpha fragrance consumer. But with the category growing more crowded, others are experimenting with body mists featuring sophisticated scents, high-touch packaging, and additional skin and hair benefits to stand out as more than just an appeal to wallet-conscious teens and tweens.",['Beauty'],2025-06-30T04:03:00,9,FRAGRANCE,"GEN Z, NEW LAUNCH",ungrouped,1
Business of Fashion,The Debrief | Fashion Tech Boom 2.0,https://www.businessoffashion.com/podcasts/technology/the-debrief-fashion-tech-boom-20/,"Investor interest in fashion tech is back, but this time, is it more substance than style? Malique Morris joins The Debrief to discuss how startups with real technical expertise and practical AI tools are leading a new wave of innovation.",[],2025-07-02T18:25:41,9,INDUSTRY,"GEN Z, AI",ungrouped,1
Glossy,The fragrance brands dominating Instagram are not the same ones making bank on TikTok,https://www.glossy.co/beauty/the-fragrance-brands-dominating-instagram-are-not-the-same-ones-making-bank-on-tiktok/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Luxury brands like Parfums de Marly and Kilian dominated Instagram for the month of May, according to a new report from Mintoiro. The more polished aesthetic dominant on Instagram does not always translate well to TikTok’s more DIY appeal, however.",['Beauty'],2025-06-25T04:04:00,9,FRAGRANCE,"TIKTOK, GEN Z",ungrouped,1
Beauty Independent,SV Labs Creates Launch Lab Manufacturing Platform To Help Brands Capitalize On Buzz,https://www.beautyindependent.com/sv-labs-creates-launch-lab-manufacturing-platform-help-brands-capitalize-buzz/,"For beauty brands, the race to stay relevant is faster than ever. TikTok-driven micro-trends, influencer collaborations and limited-run drops can explode in hours, leaving them scrambling to keep pace. E-commerce now accounts for roughly 41% of American beauty and personal care sales, and TikTok Shop has already climbed to ... The post SV Labs Creates Launch Lab Manufacturing Platform To Help Brands Capitalize On Buzz appeared first on Beauty Independent .","['Sponsored Content', 'beauty brands', 'coman', 'contract manufacturing', 'Launch Lab', 'manufacturing', 'production', 'speed', 'speed to market', 'SV', 'SV Labs', 'trends']",2025-07-01T04:01:09,8,BRAND,"NEW LAUNCH, RETAIL STRATEGY, TIKTOK, SPEED TO MARKET",ungrouped,1
Glossy,"Exclusive: Versed lands at Ulta Beauty, backed by its biggest influencer push yet",https://www.glossy.co/beauty/exclusive-versed-lands-at-ulta-beauty-backed-by-its-biggest-influencer-push-yet/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Six years after its debut, Versed, the affordable beauty brand launched by Katherine Power, is launching at 300 Ulta Beauty doors on July 7. It is available on Ultabeauty.com as of July 1. The move comes on the heels of the brand's introduction of color cosmetics in February, when it introduced a makeup collection with 14 new products at Target, which, apart from its DTC site, has been its sole retailer.","['Beauty', 'Pop']",2025-07-01T04:00:00,8,RETAIL,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
